scenario,database,filter_env,loading_time_sec,files_loaded,timestamp
A,mydb,none,26,34,2026-06-16T02:21:59Z
B,mydb,GRAPHLAKE_FILTER_COMMENT_HASCREATOR_PERSON=2010-12-01T00:00:00Z,25,24,2026-06-16T02:23:29Z
